category	AppId	C-tags (can be empty)
A	com.dong.animals-477	
A	de.quoka.kleinanzeigen-437	
A	com.starphoto.android-418	
A	com.saudagran.asanNamaz-83	
A	kr.co.azsmart.suwannobleland6-453	
A	com.keyja.chat-230	
A	nl.efteling.android-209	
C	com.kugou.android.ringtone-498	Manifest XML
A	com.sofascore.android-130	
C	com.jss.android.windows8-378	OS Update
A	com.dbscar.carbilling-216	
A	com.superrensy.android.pingpang-162	
A	fr.shywim.antoinedaniel-461	
A	com.bestringtonesapps.soundeffects-261	
A	com.avpig.exam-245	
A	com.iqoption-184	
A	com.funbox.englishlisteningpractice-444	
A	com.mn2square.slowmotionplayer-154	
A	stechsolutions.flowers.livewallpaper-326	
A	com.whaff.whaff-445	
A	com.josegd.monthcalwidget-183	
A	com.mazex-411	
A	com.ismartcreations.flashlightonclap-232	
A	com.oman.english4spanishkids-65	
B	wait.what.bassbooster-299	
A	com.rhinocerosstory-34	
A	com.myloveisyy.doodlesokoban-390	
A	com.twidroidpro-359	
A	com.DKSquad.LeagueofLegendsItems-118	
A	fr.meilleurlogiciel.cultureislamique-254	
A	com.rodcas.pinconnectwifi-24	
A	net.webis.pocketinformant-360	
A	com.growingpath-442	
A	com.tobeamaster.mypillbox-454	
A	kr.co.azsmart.hobanvertium6-500	
A	com.alarmclock.xtreme.free-430	
A	com.sillens.shapeupclub-415	
A	com.eonsoft.InterestCalc-190	
A	com.platform.pclord-364	
A	com.xda.miroex-37	
A	com.tamco.cutegirlsdolls-257	
B	com.netMonitor-191	
A	com.keyja-249	
A	com.marsor.lottery-47	
A	ru.location-309	
A	com.mejdoo.tv-98	
A	com.androidapps.unitconverter-485	
A	com.huotu.funnycamera-371	
B	be.bemobile.touringmobilis-227	
A	com.kono.reader-214	
A	com.xtreme_.makeupschool-302	
A	com.ahmaeyad.vid.qurban-328	
A	com.lectek.android.ecp-221	
A	com.leddigitalclockwidget-18	
A	com.playcom.bathenga-39	
A	idv.nightgospel.TWRailScheduleLookUp-467	
A	com.hentica.app.bireader-17	
A	com.colapps.reminder-181	
A	com.zhongxunmusic.zpy-136	
A	com.kugou.android-266	
B	com.hxb.poetry-199	
A	com.kidsfun.caveman2tablets-408	
A	com.blogspot.MyAndroidApps4u.mega_millions_usa-319	
A	com.birkot-101	
C	com.dong.sleepwell-133	OS Update
C	com.onelouder.baconreader-242	Manifest XML
A	com.submad.autumn-394	
A	com.habra.example.com-19	
A	me.selfish.android-456	
A	com.oscaryang.lunarremind-289	
A	com.ggeye.jiakao.api-57	
A	com.ppking.stocktracker-13	
A	com.kaname.surya.android.heartphotomaker-155	
A	org.ghelli.motoriasincronitoolsdemo.app-12	
B	hamsoft.inc.barcodegen-466	
A	com.app4joy.algeria_free-361	
B	com.superthomaslab.rootessentials-493	
A	com.worldnewsnow4alead.app-86	
A	hk.gogovan.GoGoVanClient2-417	
C	com.primenap.primenap-286	Manifest XML
A	com.doodoobird.activity-26	
A	com.flashlightled-49	
A	ru.liogames.flowerframe-182	
A	com.spring.cargo-283	
A	com.effective.weight.loss.tips-128	
A	kb2.soft.fuelmanager-108	
A	com.JeLocalisetrackerApp.view-383	
B	com.ccemusic.downloader-151	
A	com.repost-443	
C	com.fy.tnzbsq-374	Manifest XML
A	com.cg.android.countdown-263	
A	com.workoutroutines.gladiatorlite-314	
A	com.ifreehindishayari-144	
A	com.ffcs.SmsHelper-196	
B	com.masslight.nrmp-235	
C	jp.snowlife01.android.hdcamera-419	Hardware
A	qukean.spaceship-327	
A	com.softwego.crackscreen-212	
A	com.keramidas.TitaniumBackup-32	
A	com.surmin.assistant-271	
A	com.peony.hmmsApp-243	
A	com.copy.paste.ocr.screen.text.copypastetrial-358	
A	com.koushikdutta.rommanager-88	
A	org.sufficientlysecure.keychain-446	
A	kids.math.mathforkids-251	
A	com.app4joy.blue_marble_free-4	
A	org.greenlie.livefootballtv-33	
A	mobi.thinkchange.android.soundmeter-447	
A	com.applegargensoft.ring-462	
A	org.void1898.ss.agilebuddy-202	
A	com.yes123.mobile-153	
C	com.hundsun.winner.pazq-145	OS Update
A	com.PinkBear.ScooterHelper-426	
A	com.indiataps.allindiabankinfo-288	
B	com.jxl.note-497	
A	us.music.marine-173	
C	au.com.tapstyle-344	Asset
A	cn.damai-270	
A	cz.lucky.sudoku-141	
A	com.jayuins.movie.english.lite-115	
A	com.scary.friends-171	
B	com.wowgames.labyrinth-324	
A	com.freelancer.android.messenger-208	
A	com.bigoven.android-6	
A	com.appfab.jokeslittleJ-82	
A	com.edushi.card-457	
A	com.dumplingsandwich.cartoonphoto-300	
A	com.lbei.android-127	
C	com.beka.tools.mp3cutter-395	OS Update
A	com.infomil.leclercdrive-277	
A	com.grigerlab.transport-267	
B	com.spice.hangman-421	
A	tw.nicky.HDCallerID-315	
A	com.sparkslab.dcardreader-465	
A	com.appfab.jokes.crude-99	
A	com.dis.torch-116	
A	com.wordpandit.flashcards-73	
B	com.travelzoo.android-90	
B	com.kalpvaig.quest-150	
A	westport.andrewirwin.com.drivesafe-367	
A	nz.co.stuff.android.news-2	
A	com.gb.compassleveler-158	
A	com.jb.gokeyboard.theme.BestThemes.themescolor-9	
A	pawelz.Apps.Guns.Shoot.Sounds-63	
A	net.lyoness.mterm-435	
A	com.ssysoftware.weavingbraids-239	
A	fr.meilleurlogiciel.holyquranpro-51	
A	com.gigabud.tasklabels-192	
C	com.google.android.gms-475	Manifest XML
A	earth.rasull.forestgrass.affirmator-198	
A	com.king.batterytest-464	
A	com.mk.news-142	
A	com.tinymission.dailycardioworkoutfree-189	
A	com.glt.infobank.app-64	
A	info.thereisonlywe.evliyalaransiklopedisi-25	
C	com.channelnewsasia-304	Manifest XML
A	com.mobileanarchy.dividendsdashboard-348	
A	com.tgb.bg.jevcyxr-215	
A	com.agus.calendar.id-219	
A	kr.sira.measure-8	
A	com.tpvapps.simpledrumkit-139	
C	com.dangerb.timingfly-193	OS Update
A	org.vv.baby.cognize.character-380	
A	com.br.myprofission-48	
A	com.mediawill.findalljob-451	
A	com.gonliapps.WorldCupBrazil2014FootballQuiz-234	
A	com.sweetsugar.pencileffectfree-206	
A	com.przemyslwslota.bmi-30	
A	com.jb.gokeyboard.theme.BestThemes.hell-172	
A	com.hg.ceyanli-496	
C	com.silvermoonapps.learnkoreanquicklite-147	Asset
A	br.com.couldsys.percursion-167	
C	com.keyja.pool-204	Manifest XML
A	com.zg.iqtest-222	
A	com.miruphotobook.miruphotobook-59	
A	com.influenster-223	
A	com.app.free.studio.lockscreen-161	
A	com.goldsunday.centralgate-138	
A	com.dbd.ghostcamera-340	
A	mobile.visuals.ascenttotranscendence-129	
B	com.gtcsoft.musicat-241	
A	com.magdalm.flashlightledenergyball-297	
B	com.mamarzan.hograisers-38	
A	com.wisetoto-16	
C	eu.bischofs.mapcam-334	OS Update
A	com.source.coach-282	
A	com.danez.wifimanager-339	
A	com.loveandroidsoft.transparent-72	
A	com.etsy.android-495	
A	com.ansangha.drjanggi-201	
A	com.calengoo.android-294	
A	eu.ekinnolab.naviparking-331	
A	com.blogspot.MyAndroidApps4u.power_ball_usa-322	
A	com.sparkslab.ourcitylove-225	
A	klwinkel.huiswerk-93	
A	com.androbros.wordsearchportuguese-386	
A	com.anyview-111	
A	com.allysoft.valentinekeyboard-55	
A	com.ltt.compass-343	
A	info.goro3goro.igojoseki-351	
A	yzd.zirco-373	
A	com.ramadan2014.shams-387	
A	com.zeapo.pwdstore-138	
A	cgeo.geocaching-3570	
A	org.kontalk-723	
A	cgeo.geocaching-3527	
A	org.kontalk-734	
A	org.kontalk-808	
A	org.wordpress.android-1321	
A	org.kontalk-930	
C	org.wordpress.android-2372	Resource XML-mislabel in original dataset
A	org.kontalk-860	
A	cgeo.geocaching-4274	
A	cgeo.geocaching-23234767	
A	org.wordpress.android-1320	
A	org.wordpress.android-4845	
A	com.nextgis.mobile-493	
A	org.kontalk-510	
A	org.thoughtcrime.securesms-92317259	
A	cgeo.geocaching-1503	
A	org.wordpress.android-4875	
A	de.tum.in.tumcampus-392	
B	org.kontalk-255597670	
A	com.nextgis.mobile-350	
A	com.matburt.mobileorg-177	
A	org.wordpress.android-1469	
C	com.nextgis.mobile-260	Resource XML
B	com.nextgis.mobile-315	
B	cgeo.geocaching-5591	
A	org.wordpress.android-5297	
A	org.wordpress.android-134	
A	fr.free.nrw.commons-225563649	
B	cgeo.geocaching-1884	
A	cgeo.geocaching-600	
A	de.danoeh.antennapod-1073	
B	org.y20k.transistor-21	
A	cgeo.geocaching-4275	
A	org.wordpress.android-1588	
A	org.wordpress.android-1843	
A	com.nextgis.mobile-532	
C	cgeo.geocaching-6061547	Resource XML
A	org.kiwix.kiwixmobile-19	
A	cgeo.geocaching-4236	
B	cgeo.geocaching-4450	
A	de.tum.in.tumcampus-150363580	
A	org.kontalk-883	
C	org.wordpress.android-5449	Resource XML
A	org.kontalk-958	
A	org.kontalk-795	
A	cgeo.geocaching-4524	
A	ch.logixisland.anuto-1	
A	org.kontalk-709	
B	org.wordpress.android-2855	
A	com.joulespersecond.seattlebusbot-168	
A	cgeo.geocaching-3541	
A	org.kontalk-782	
A	org.wordpress.android-1504	
A	org.kontalk-46	
A	org.wordpress.android-938	
A	cgeo.geocaching-4541	
A	org.kontalk-773	
A	org.kontalk-994	
A	org.kontalk-454	
A	org.wordpress.android-2695	
A	org.wordpress.android-1590	
A	org.kontalk-526	
A	com.pcinpact-147505046	
A	org.fitchfamily.android.wifi_backend-172302822	
A	com.nextgis.mobile-346	
A	com.seafile.seadroid-474	
A	org.kontalk-511	
A	facebook-android-sdk-615	
A	facebook-android-sdk-894	
A	facebook-android-sdk-905	
A	facebook-android-sdk-906	
A	facebook-android-sdk-927	
A	facebook-android-sdk-997	
C	facebook-android-sdk-1030	Manifest XML
A	facebook-android-sdk-1032	
C	com.google.maps-532	Asset
A	com.google.maps-768	
A	com.google.maps-770	
