app	traceSize	crashMethodListSize
com.yes123.mobile-153	52	2
com.hundsun.winner.pazq-145	9	4
com.PinkBear.ScooterHelper-426	16	3
com.indiataps.allindiabankinfo-288	16	1
com.jxl.note-497	25	8
us.music.marine-173	69	4
au.com.tapstyle-344	4	1
cn.damai-270	14	1
cz.lucky.sudoku-141	54	7
com.jayuins.movie.english.lite-115	15	1
com.scary.friends-171	15	1
com.wowgames.labyrinth-324	8	2
com.freelancer.android.messenger-208	9	3
com.bigoven.android-6	10	2
com.appfab.jokeslittleJ-82	7	1
com.edushi.card-457	12	4
com.dumplingsandwich.cartoonphoto-300	7	1
com.lbei.android-127	53	1
com.beka.tools.mp3cutter-395	9	1
com.infomil.leclercdrive-277	16	4
com.grigerlab.transport-267	32	2
com.spice.hangman-421	22	12
tw.nicky.HDCallerID-315	16	1
com.sparkslab.dcardreader-465	16	1
com.appfab.jokes.crude-99	7	1
com.dis.torch-116	3	1
com.wordpandit.flashcards-73	6	3
com.travelzoo.android-90	16	4
com.kalpvaig.quest-150	14	2
westport.andrewirwin.com.drivesafe-367	9	3
nz.co.stuff.android.news-2	18	3
com.gb.compassleveler-158	9	3
com.jb.gokeyboard.theme.BestThemes.themescolor-9	53	1
pawelz.Apps.Guns.Shoot.Sounds-63	51	1
net.lyoness.mterm-435	17	2
com.ssysoftware.weavingbraids-239	19	1
fr.meilleurlogiciel.holyquranpro-51	64	2
com.gigabud.tasklabels-192	15	1
com.google.android.gms-475	14	7
earth.rasull.forestgrass.affirmator-198	55	1
com.king.batterytest-464	15	1
com.mk.news-142	15	1
com.tinymission.dailycardioworkoutfree-189	15	1
com.glt.infobank.app-64	13	1
info.thereisonlywe.evliyalaransiklopedisi-25	50	1
com.channelnewsasia-304	11	3
com.mobileanarchy.dividendsdashboard-348	10	4
com.tgb.bg.jevcyxr-215	13	6
com.agus.calendar.id-219	20	2
kr.sira.measure-8	15	1
com.tpvapps.simpledrumkit-139	51	1
com.dangerb.timingfly-193	9	2
org.vv.baby.cognize.character-380	18	1
com.br.myprofission-48	16	2
com.mediawill.findalljob-451	18	3
com.gonliapps.WorldCupBrazil2014FootballQuiz-234	16	1
com.sweetsugar.pencileffectfree-206	16	1
com.przemyslwslota.bmi-30	51	1
com.jb.gokeyboard.theme.BestThemes.hell-172	53	1
com.hg.ceyanli-496	52	1
com.silvermoonapps.learnkoreanquicklite-147	9	2
br.com.couldsys.percursion-167	15	1
com.keyja.pool-204	11	3
com.zg.iqtest-222	16	1
com.miruphotobook.miruphotobook-59	16	1
com.influenster-223	7	1
com.app.free.studio.lockscreen-161	57	2
com.goldsunday.centralgate-138	52	1
com.dbd.ghostcamera-340	16	1
mobile.visuals.ascenttotranscendence-129	9	3
com.gtcsoft.musicat-241	9	3
com.magdalm.flashlightledenergyball-297	9	1
com.mamarzan.hograisers-38	16	2
com.wisetoto-16	16	1
eu.bischofs.mapcam-334	8	1
com.source.coach-282	11	5
com.danez.wifimanager-339	9	3
com.loveandroidsoft.transparent-72	16	1
com.etsy.android-495	69	5
com.ansangha.drjanggi-201	47	1
com.calengoo.android-294	12	4
eu.ekinnolab.naviparking-331	10	2
com.blogspot.MyAndroidApps4u.power_ball_usa-322	16	1
com.sparkslab.ourcitylove-225	17	5
klwinkel.huiswerk-93	12	4
com.androbros.wordsearchportuguese-386	18	2
com.anyview-111	12	3
com.allysoft.valentinekeyboard-55	62	1
com.ltt.compass-343	11	3
info.goro3goro.igojoseki-351	16	1
yzd.zirco-373	8	3
com.ramadan2014.shams-387	18	1
com.zeapo.pwdstore-138	14	1
cgeo.geocaching-3570	18	3
org.kontalk-723	16	4
cgeo.geocaching-3527	13	2
org.kontalk-734	20	3
org.kontalk-808	20	3
org.wordpress.android-1321	13	3
org.kontalk-930	3	1
org.wordpress.android-2372	15	2
org.kontalk-860	10	1
cgeo.geocaching-4274	16	3
cgeo.geocaching-23234767	17	2
org.wordpress.android-1320	16	4
org.wordpress.android-4845	23	4
com.nextgis.mobile-493	19	2
org.kontalk-510	13	1
org.thoughtcrime.securesms-92317259	40	6
cgeo.geocaching-1503	15	10
org.wordpress.android-4875	15	5
de.tum.in.tumcampus-392	9	1
org.kontalk-255597670	24	6
com.nextgis.mobile-350	21	2
com.matburt.mobileorg-177	12	3
org.wordpress.android-1469	25	2
com.nextgis.mobile-260	15	1
com.nextgis.mobile-315	7	1
cgeo.geocaching-5591	28	17
org.wordpress.android-5297	20	8
org.wordpress.android-134	15	3
fr.free.nrw.commons-225563649	10	2
cgeo.geocaching-1884	21	11
cgeo.geocaching-600	7	3
de.danoeh.antennapod-1073	6	1
org.y20k.transistor-21	13	3
cgeo.geocaching-4275	19	5
org.wordpress.android-1588	20	7
org.wordpress.android-1843	23	2
com.nextgis.mobile-532	27	2
cgeo.geocaching-6061547	12	4
org.kiwix.kiwixmobile-19	12	2
cgeo.geocaching-4236	22	2
cgeo.geocaching-4450	5	3
de.tum.in.tumcampus-150363580	8	1
org.kontalk-883	11	3
org.wordpress.android-5449	30	2
org.kontalk-958	17	4
org.kontalk-795	15	3
cgeo.geocaching-4524	22	2
ch.logixisland.anuto-1	9	5
org.kontalk-709	22	3
org.wordpress.android-2855	12	4
com.joulespersecond.seattlebusbot-168	21	6
cgeo.geocaching-3541	8	7
org.kontalk-782	23	4
org.wordpress.android-1504	16	5
org.kontalk-46	16	5
org.wordpress.android-938	14	3
cgeo.geocaching-4541	6	3
org.kontalk-773	14	3
org.kontalk-994	29	4
org.kontalk-454	13	4
org.wordpress.android-2695	12	6
org.wordpress.android-1590	15	3
org.kontalk-526	13	4
com.pcinpact-147505046	41	2
org.fitchfamily.android.wifi_backend-172302822	12	6
com.nextgis.mobile-346	13	1
com.seafile.seadroid-474	6	1
org.kontalk-511	20	2
facebook-android-sdk-615	7	4
facebook-android-sdk-894	8	5
facebook-android-sdk-905	16	8
facebook-android-sdk-906	21	7
facebook-android-sdk-927	38	9
facebook-android-sdk-997	11	8
facebook-android-sdk-1030	17	1
facebook-android-sdk-1032	37	16
com.google.maps-532	20	11
com.google.maps-768	18	3
com.google.maps-770	15	5
